avgClose,label
82600.15400000001,82640.0
82599.402,82597.65
82599.66,82725.57
82648.07599999999,82727.18
82661.51,82708.7
82679.82,82618.08
82675.436,82651.1
82686.126,82644.49
82669.91,82470.01
82618.476,82568.14
82590.364,82565.97
82579.94200000001,82606.72
82571.06599999999,82704.78
82583.124,82613.44
82611.81,82588.06
82615.79400000001,82578.27
82618.254,82689.36
82634.78199999999,82663.19
82626.464,82704.2
82644.61600000001,82699.3
82666.864,82770.04
82705.218,82845.09
82736.36399999999,83013.07
82806.34,82966.36
82858.772,82893.78
82897.66799999999,82863.41
82916.34200000002,82820.18
82911.36,82950.01
82898.74799999999,83014.53
82908.38200000001,83003.98
82930.42199999999,83100.0
82977.74,83153.23
83044.34999999999,83111.24
83076.59599999999,83180.8
83109.84999999999,83218.0
83152.654,83187.71
83170.19600000001,83085.46
83156.642,83111.17
83156.628,82991.49
83118.766,83006.01
83076.368,83084.14
83055.65400000001,82992.52
83037.066,82962.84
83007.4,82976.99
83004.5,82908.24
82984.946,82935.99
82955.31599999999,82887.0
82934.212,82952.14
82932.07200000001,83047.61
82946.196,83163.47
82997.242,83187.34
83047.51199999999,83168.09
83103.73000000001,83166.56
83146.614,83091.19
83155.32999999999,83060.0
83134.636,83060.0
83109.16799999999,83062.33
83088.016,83169.82
83088.668,83300.57
83130.54400000001,83307.12
83179.96800000001,83291.86
83226.34,83210.23
83255.92,83156.01
83253.158,83171.51
83227.34599999999,83128.4
83191.602,83058.0
83144.83,83006.67
83104.11799999999,82933.12
83059.54,82954.11
83016.06,82991.66
82988.71199999998,83050.28
82987.16799999999,83009.22
82987.678,83134.58
83027.97,83164.39
83070.026,83280.84
83127.86200000001,83356.5
83189.106,83432.31
83273.724,83467.84
83340.376,83454.76
83398.45,83493.12
83440.90599999999,83405.06
83450.61799999999,83510.01
83466.158,83483.3
83469.25,83459.62
83470.222,83450.0
83461.598,83408.36
83462.258,83514.47
83463.15,83531.38
83472.76599999999,83571.58
83495.158,83498.19
83504.796,83445.5
83512.224,83585.27
83526.384,83625.69
83545.24600000001,83696.52
83570.23400000001,83811.75
83632.94600000001,83754.99
83694.84400000001,83924.5
83762.69,84056.98
83848.948,83963.52
83902.348,83989.51
83937.9,84116.0
84010.102,84093.11
84043.824,84121.94
84056.816,84255.25
84115.162,84255.02
84168.264,84156.62
84176.388,84262.5
84210.266,84222.99
84230.476,84226.22
84224.67,84290.71
84231.80799999999,84257.26
84251.936,84335.99
84266.634,84370.76
84296.188,84300.0
84310.944,84362.0
84325.202,84260.55
84325.86,84173.14
84293.29000000001,84284.88
84276.114,84458.59
84307.83200000001,84400.01
84315.43400000001,84432.14
84349.75200000001,84236.71
84362.466,84242.52
84353.994,84244.44
84311.164,84333.69
84297.9,84217.99
84255.06999999999,84175.99
84242.926,84111.03
84216.628,84044.08
84176.556,84097.15
84129.24799999999,84123.16
84110.282,84066.02
84088.288,84049.0
84075.882,83958.0
84058.666,83846.38
84008.512,83982.02
83980.28400000001,84027.74
83972.628,83889.65
83940.758,83930.3
83935.21800000001,84007.26
83967.394,84084.41
83987.872,84097.99
84001.92199999999,84005.0
84024.992,84018.87
84042.70599999999,84073.5
84055.954,83965.83
84032.238,83850.01
83982.642,83749.99
83931.64,83634.7
83854.80600000001,83760.62
83792.23000000001,83615.26
83722.11600000001,83670.36
83686.186,83739.26
83684.04000000001,83777.68
83712.636,83690.24
83698.56,83704.74
83716.45599999999,83679.98
83718.37999999999,83612.88
83693.10399999999,83634.7
83664.508,83734.27
83673.314,83839.13
83700.19200000001,83663.94
83696.98400000001,83618.23
83698.054,83313.78
83633.87,83030.99
83493.21399999999,82796.1
83284.60800000001,82720.01
83095.822,82924.27
82957.03,82970.12
82888.29800000001,83156.23
82913.34599999999,83408.0
83035.726,83507.99
83193.322,83658.49
83340.166,84306.0
83607.34199999999,84195.92
83815.28,84352.43
84004.166,84472.77
84197.122,84906.0
84446.624,84873.94
84560.212,84884.85
84697.99799999999,84750.49
84777.61000000002,84971.31
84877.318,85189.87
84934.092,85331.24
85025.552,85291.98
85106.97799999999,85231.97
85203.274,85280.87
85265.18599999999,85292.52
85285.716,85302.54
85279.976,85179.73
85257.52599999998,85155.15
85242.16199999998,85029.0
85191.78799999999,84920.0
85117.284,84999.99
85056.774,85023.02
85025.432,84944.63
84983.32800000001,85082.69
84994.066,85184.52
85046.97,85119.99
85070.97,85095.87
85085.54000000001,85011.98
85099.01,85138.98
85110.268,84962.11
85065.786,84994.47
85040.68199999999,85132.05
85047.918,85153.75
85076.272,85159.8
85080.436,85113.99
85110.812,85247.53
85161.424,85239.0
85182.81399999998,85117.85
85175.634,84829.99
85109.67199999999,84803.44
85047.562,84863.0
84970.656,84792.07
84881.27,84754.25
84808.55,84904.19
84823.39,85014.26
84865.554,85035.86
84900.126,85136.28
84968.968,84952.06
85008.53,85048.09
85037.30999999998,85126.68
85059.79400000001,85074.27
85067.476,85024.02
85045.024,85125.21
85079.65400000001,85036.23
85077.282,85024.66
85056.878,84924.24
85026.872,85010.33
85024.134,84971.98
84993.488,84993.63
84984.96800000001,85048.47
84989.73000000001,85054.58
85015.79800000001,84972.01
85008.13399999999,84799.05
84973.548,84887.13
84952.24799999999,84980.54
84938.662,85016.01
84930.948,85040.0
84944.546,84967.1
84978.156,85029.55
85006.64,85025.28
85015.58800000002,85021.71
85016.72800000002,85142.28
85037.18400000001,85236.27
85091.01800000001,85231.28
85131.36399999999,85180.77
85162.46200000001,85318.57
85221.834,85292.46
85251.87000000001,85250.45
85254.706,85225.43
85253.53600000001,85184.0
85254.182,85219.06
85234.28,85476.0
85270.988,85360.74
85293.046,85292.56
85306.472,85245.29
85318.73,85223.84
85319.68599999999,85216.55
85267.79599999999,85318.24
85259.296,85374.69
85275.722,85354.35
85297.53400000001,85274.54
85307.674,85222.33
85308.83,85300.0
85305.182,85247.08
85279.66,85209.55
85250.7,85308.03
85257.398,85247.84
85262.5,85099.99
85222.49799999999,85021.61
85177.40400000001,84995.77
85134.648,85056.61
85084.364,85177.71
85070.338,85220.0
85094.34,85343.67
85158.75200000001,85361.84
85231.96599999999,85258.58
85272.36,85247.54
85286.32599999999,85157.57
85273.84,85221.35
85249.376,85158.34
85208.676,85177.48
85192.45599999999,85132.18
85169.38399999999,85103.78
85158.626,85119.66
85138.28800000002,85190.57
85144.734,85063.21
85121.88,85142.92
85124.028,85064.25
85116.122,85031.14
85098.418,85062.41
85072.78600000001,84970.61
85054.26599999999,84964.49
85018.58,84982.68
85002.26599999999,84871.81
84970.4,84894.25
84936.768,84972.54
84937.154,84924.44
84929.144,84932.07
84919.022,85008.74
84946.408,85079.91
84983.54,85169.0
85022.83200000001,85073.63
85052.67,85126.46
85091.54800000001,85147.3
85119.26,85082.77
85119.83200000001,84892.46
85064.524,84750.12
84999.82200000001,84765.53
84927.63600000001,84801.29
84858.434,84804.64
84802.808,84813.98
84787.112,84724.51
84781.99,84671.01
84763.086,84672.0
84737.228,84826.1
84741.51999999999,84714.36
84721.59599999999,84848.16
84746.326,84843.79
84780.882,84839.99
